firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Bobby,Hill,1835,Collingwood,2026,23,MEDIUM_FORWARD,CD_I1006148,9/02/2000,2018,175,0,Northam Barons (WA)/Perth (WAFL)/GWS,2019,nationalDraft,24,27/04/2026
Isaac,Quaynor,1772,Collingwood,2026,3,MEDIUM_DEFENDER,CD_I1008089,15/01/2000,2018,180,0,East Doncaster (Vic)/Oakleigh U18,2019,nationalDraft,13,27/04/2026
Jack,Buller,6858,Collingwood,2026,34,KEY_FORWARD,CD_I1009392,16/05/2001,2023,199,0,Cottesloe (WA)/Scotch College (WA)/Claremont (WAFL)/Sydney Swans,2023,other,13,27/04/2026
Wil,Parker,2479,Collingwood,2026,15,MEDIUM_DEFENDER,CD_I1012873,29/05/2002,2023,180,0,East Ringwood FC/Norwood SC,2024,other,NA,27/04/2026
Reef,McInnes,2922,Collingwood,2026,26,KEY_DEFENDER,CD_I1013278,12/12/2002,2020,194,0,Surrey Park (Vic)/Scotch College (Vic)/Oakleigh U18,2022,nationalDraft,23,27/04/2026
Harvey,Harrison,5677,Collingwood,2026,36,MEDIUM_FORWARD,CD_I1015332,10/11/2003,2021,181,0,Golden Grove (SA)/Tyndale Christian Coll (SA)/North Adel (SANFL),2023,nationalDraft,52,27/04/2026
Ned,Long,2880,Collingwood,2026,44,MIDFIELDER,CD_I1017124,5/02/2003,2024,194,0,Melbourne Grammar (Vic)/Northern U18/ Collingwood (VFL),2022,other,19,27/04/2026
Jakob,Ryan,8623,Collingwood,2026,24,MEDIUM_DEFENDER,CD_I1020104,20/09/2004,2022,189,0,Brighton Districts &amp; Old Scholars (SA)/Sacred Heart Coll (SA)Glenelg (SANFL),2023,nationalDraft,28,27/04/2026
Noah,Howes,10243,Collingwood,2026,40,KEY_FORWARD,CD_I1022614,28/10/2005,NA,196,0,NA,NA,NA,NA,27/04/2026
Oscar,Steene,8638,Collingwood,2026,21,RUCK,CD_I1022844,23/08/2003,2022,201,0,Goodwood (SA)/West Adelaide (SANFL),2026,preseason,NA,27/04/2026
Edward,Allan,7853,Collingwood,2026,16,MIDFIELDER,CD_I1022915,26/05/2004,2022,194,0,Mosman Park (WA)/Claremont (WAFL),2024,nationalDraft,19,27/04/2026
Nick,Daicos,5257,Collingwood,2026,35,MIDFIELDER,CD_I1023261,3/01/2003,2021,184,0,Kew Rovers (Vic)/Camberwell Grammar (Vic)/Oakleigh U18,2022,fatherSon,4,27/04/2026
Angus,Anderson,5507,Collingwood,2026,41,MIDFIELDER_FORWARD,CD_I1023744,25/05/2003,2025,190,0,Sawtell Toormina Saints (NSW)/Sturt (SANFL),2026,nationalDraft,57,27/04/2026
Charlie,West,10794,Collingwood,2026,29,KEY_FORWARD,CD_I1027382,1/02/2006,2024,194,0,Henley FC Juniors/Woodville-West Torrens (SANFL),2025,nationalDraft,50,27/04/2026
Roan,Steele,6220,Collingwood,2026,45,MIDFIELDER,CD_I1027501,22/10/2001,2025,183,0,West Perth (WAFL),2025,other,8,27/04/2026
Harry,DeMattia,6453,Collingwood,2026,13,MIDFIELDER,CD_I1027673,11/09/2005,2023,185,0,Edithvale-Aspendale JFC (Vic)/Dandenong U18,NA,nationalDraft,25,27/04/2026
Iliro,Smit,6467,Collingwood,2026,20,RUCK,CD_I1027834,9/08/2005,2024,200,0,Eastern U18,NA,other,10,27/04/2026
Joel,Cochran,9376,Collingwood,2026,27,MEDIUM_DEFENDER,CD_I1029000,28/03/2006,2024,195,0,UNSW Eastern Suburbs Bulldogs/Sydney Swans Academy,NA,nationalDraft,47,27/04/2026
Zac,McCarthy,12472,Collingwood,2026,37,RUCK,CD_I1030442,27/10/2007,2025,199,0,Kew JFC (Vic)/Oakleigh U18,NA,nationalDraft,55,27/04/2026
Tew,Jiath,9264,Collingwood,2026,19,MEDIUM_DEFENDER,CD_I1032017,2/03/2005,2023,188,0,Morwell Junior Football Club (Vic)/Gippsland U18,2024,nationalDraft,37,27/04/2026
William,Hayes,11327,Collingwood,2026,39,MEDIUM_FORWARD,CD_I1032922,16/05/2006,2024,180,0,Subiaco JFC/Claremont (WAFL),2025,nationalDraft,56,27/04/2026
Jai,Saxena,14557,Collingwood,2026,43,MEDIUM_FORWARD,CD_I1033835,27/07/2007,2025,180,0,Beverly Hills (Vic)/Oakleigh Chargers U18,NA,other,NA,27/04/2026
Sam,Swadling,13207,Collingwood,2026,32,MIDFIELDER,CD_I1037021,16/01/2007,2025,187,0,Whitford JFC (WA)/West Perth (WAFL),NA,nationalDraft,37,27/04/2026
Tyan,Prindable,15324,Collingwood,2026,18,MIDFIELDER,CD_I1042013,25/01/2007,2025,181,0,Coorparoo JFC (Qld)/Brisbane Lions Academy U18,NA,nationalDraft,32,27/04/2026
Scott,Pendlebury,118,Collingwood,2026,10,MIDFIELDER,CD_I260257,7/01/1988,2005,191,0,Sale (Vic)/Gippsland U18,2006,nationalDraft,5,27/04/2026
Steele,Sidebottom,154,Collingwood,2026,22,MIDFIELDER,CD_I280965,2/01/1991,2008,184,0,Congupna (Vic)/Murray U18,2009,nationalDraft,11,27/04/2026
Jeremy,Howe,504,Collingwood,2026,38,KEY_DEFENDER,CD_I291313,29/06/1990,2010,190,0,Dodges Ferry (Tas)/Hobart (Tas)/Melbourne,2011,nationalDraft,33,27/04/2026
Jamie,Elliott,112,Collingwood,2026,5,MEDIUM_FORWARD,CD_I293801,21/08/1992,2011,177,0,Euroa (Vic)/Murray U18,2012,other,NA,27/04/2026
Jack,Crisp,212,Collingwood,2026,25,MIDFIELDER,CD_I293871,2/10/1993,2012,190,0,Myrtleford (Vic)/Murray U18/Brisbane,2012,rookieElevation,86,27/04/2026
Tim,Membrey,836,Collingwood,2026,28,KEY_FORWARD,CD_I294596,26/05/1994,2012,188,0,Traralgon (Vic)/Gippsland U18/Sydney Swans/ St Kilda,2014,nationalDraft,46,27/04/2026
Daniel,McStay,249,Collingwood,2026,11,KEY_FORWARD,CD_I297504,24/06/1995,2013,196,0,Vermont (Vic)/Eastern U18/Brisbane,2014,nationalDraft,25,27/04/2026
Darcy,Moore,895,Collingwood,2026,30,KEY_DEFENDER,CD_I298288,25/01/1996,2014,203,0,Kew Comets (Vic)/Carey Grammar (Vic)/Oakleigh U18,2015,fatherSon,9,27/04/2026
Darcy,Cameron,1330,Collingwood,2026,14,RUCK,CD_I990291,18/07/1995,2016,204,0,North Albany (WA)/Claremont (WAFL)/Sydney,2018,nationalDraft,48,27/04/2026
Billy,Frampton,1037,Collingwood,2026,17,KEY_DEFENDER,CD_I991773,20/11/1996,2014,201,0,East Fremantle Power (WA)/South Fremantle (WAFL)/Port Adel/Adel,2018,nationalDraft,84,27/04/2026
Brayden,Maynard,862,Collingwood,2026,4,KEY_DEFENDER,CD_I992010,20/09/1996,2014,189,0,Hampton Rovers (Vic)/Sandringham U18,2015,nationalDraft,30,27/04/2026
Jordan,De Goey,782,Collingwood,2026,2,MIDFIELDER_FORWARD,CD_I994185,15/03/1996,2014,188,0,Ashburton (Vic)/St Kevin's College (Vic)/Oakleigh U18,2015,nationalDraft,5,27/04/2026
Dan,Houston,1043,Collingwood,2026,9,MEDIUM_DEFENDER,CD_I994295,12/05/1997,2024,186,0,Greythorn (Vic)/Camberwell Grammar (Vic)/Oakleigh U18/Port Adelaide,2017,other,NA,27/04/2026
Harry,Perryman,1394,Collingwood,2026,12,MEDIUM_DEFENDER,CD_I998205,19/12/1998,2016,187,0,Collingullie-Glenfield Park (NSW)/NSW-ACT U18/GWS GIANTS,2017,nationalDraft,14,27/04/2026
Lachlan,Sullivan,4851,Collingwood,2026,33,MEDIUM_FORWARD,CD_I998480,25/09/1997,2023,180,0,Port Melbourne (VFL)/Footscray (VFL),2024,preseason,NA,27/04/2026
Jordan,Ridley,1288,Essendon,2026,14,MEDIUM_DEFENDER,CD_I1001026,20/10/1998,2016,195,0,East Burwood (Vic)/Box Hill High School (Vic)/Oakleigh U18,2018,nationalDraft,22,27/04/2026
Ben,McKay,874,Essendon,2026,32,KEY_DEFENDER,CD_I1002143,24/12/1997,2015,202,0,Warragul (Vic)/Gippsland U18/North Melbourne,2017,nationalDraft,21,27/04/2026
Xavier,Duursma,1852,Essendon,2026,28,MIDFIELDER,CD_I1006096,7/07/2000,2018,186,0,Foster (Vic)/South Gippsland SC (Vic)/Gippsland U18/Port Adelaide,2019,nationalDraft,18,27/04/2026
Jye,Caldwell,1834,Essendon,2026,6,MIDFIELDER,CD_I1006103,28/09/2000,2018,183,0,Golden Square (Vic)/Geelong Grammar (Vic)/Bendigo U18/GWS,2019,nationalDraft,11,27/04/2026
Jaxon,Prior,3714,Essendon,2026,25,MEDIUM_DEFENDER,CD_I1009386,4/06/2001,2019,189,0,Sorrento-Duncraig (WA)/West Perth (WAFL)/Brisbane Lions,2021,nationalDraft,59,27/04/2026
Harrison,Jones,2242,Essendon,2026,23,MIDFIELDER_FORWARD,CD_I1011755,25/02/2001,2019,196,0,Gisborne (Vic)/PEGS (Vic)/Calder U18,2021,nationalDraft,30,27/04/2026
Nick,Bryan,2692,Essendon,2026,24,RUCK,CD_I1011954,22/10/2001,2019,203,0,Glen Iris (Vic)/St Kevin's College (Vic)/Oakleigh U18,2021,nationalDraft,38,27/04/2026
Nic,Martin,6178,Essendon,2026,37,MIDFIELDER_FORWARD,CD_I1012013,3/04/2001,2021,192,0,Noranda (WA)/Subiaco (WAFL),2022,preseason,NA,27/04/2026
Zach,Reid,2612,Essendon,2026,31,KEY_DEFENDER,CD_I1012817,2/03/2002,2020,202,0,Leongatha (Vic)/(Gippsland U18,2021,nationalDraft,10,27/04/2026
Liam,McMahon,2678,Essendon,2026,48,KEY_FORWARD,CD_I1012842,2/05/2002,2020,198,0,Eltham (Vic)/Northern U18/Collingwood/Carlton (VFL)/Essendon (VFL),2025,nationalDraft,31,27/04/2026
Sam,Durham,3075,Essendon,2026,22,MIDFIELDER_FORWARD,CD_I1015810,9/07/2001,2021,185,0,Seymour (Vic)/Murray U18/Richmond (VFL),2021,other,9,27/04/2026
Nik,Cox,2843,Essendon,2026,13,MIDFIELDER,CD_I1015827,15/01/2002,2020,200,0,Montmorency (Vic)/Ivanhoe Grammar (Vic)/Northern U18,2021,nationalDraft,8,27/04/2026
Archie,Perkins,3299,Essendon,2026,16,MEDIUM_FORWARD,CD_I1015873,26/03/2002,2020,188,0,Old Brighton (Vic)/Brighton Grammar (Vic)/Sandringham U18,2021,nationalDraft,9,27/04/2026
Saad,El-Hawli,3440,Essendon,2026,41,MIDFIELDER,CD_I1015919,15/05/2001,2024,184,0,Altona/Northern Bullants (VFL),2025,other,13,27/04/2026
Thomas,Edwards,7531,Essendon,2026,45,KEY_FORWARD,CD_I1018323,20/05/2000,2024,191,0,Royals/Swan Districts (WAFL),2025,preseason,NA,27/04/2026
Jayden,Nguyen,8521,Essendon,2026,42,MEDIUM_DEFENDER,CD_I1018987,27/07/2006,2024,177,0,Aberfeldie (VIC)/Calder U18,2025,other,NA,27/04/2026
Lewis,Hayes,5392,Essendon,2026,18,MEDIUM_DEFENDER,CD_I1023487,17/12/2004,2022,199,0,Lysterfield (Vic)/Rowville Secondary College (Vic)/Eastern U18,2025,nationalDraft,25,27/04/2026
Archie,Roberts,6645,Essendon,2026,21,MEDIUM_DEFENDER,CD_I1023515,18/11/2005,2023,184,0,Hampton Rovers AFC (Vic)/Sandringham Rovers U18,2024,nationalDraft,54,27/04/2026
Elijah,Tsatas,5528,Essendon,2026,5,MIDFIELDER,CD_I1023785,18/10/2004,2022,187,0,Surrey Park (Vic)/Wesley College (Vic)/Oakleigh U18,2023,nationalDraft,5,27/04/2026
Dyson,Sharp,9891,Essendon,2026,15,MEDIUM_FORWARD,CD_I1027168,23/05/2007,2025,187,0,Barossa District (SA)/Central District (SANFL),2026,nationalDraft,13,27/04/2026
Angus,Clarke,9950,Essendon,2026,36,MEDIUM_DEFENDER,CD_I1027284,2/11/2006,2024,189,0,East Gambier FC/Glenelg (SANFL),2025,nationalDraft,39,27/04/2026
Nate,Caddy,6608,Essendon,2026,30,KEY_FORWARD,CD_I1027899,14/07/2005,2023,193,0,Yarrambat JFC (Vic)/Northern Knights U18,2024,nationalDraft,10,27/04/2026
Vigo,Visentini,6698,Essendon,2026,17,RUCK,CD_I1027966,5/09/2005,2023,203,0,Brighton Beach (Vic)/Sandringham U18,2025,rookieElevation,8,27/04/2026
Lachlan,Blakiston,7157,Essendon,2026,46,RUCK,CD_I1028196,9/09/1998,2025,203,0,Cockburn/East Fremantle (WAFL),2025,other,13,27/04/2026
Zak,Johnson,8418,Essendon,2026,40,MEDIUM_DEFENDER,CD_I1028519,24/12/2006,2024,186,0,St Marys GJFC/Northern U18,2025,nationalDraft,70,27/04/2026
Isaac,Kako,8522,Essendon,2026,10,MEDIUM_FORWARD,CD_I1028554,7/03/2006,2024,176,0,Northern Saints/Calder U18,2025,nationalDraft,13,27/04/2026
Archer,May,8423,Essendon,2026,26,KEY_FORWARD,CD_I1029084,27/08/2004,2025,198,0,Subiaco (WAFL)/Richmond (VFL),2025,other,6,27/04/2026
Kayle,Gerreyn,11568,Essendon,2026,19,KEY_FORWARD,CD_I1029159,10/05/2006,2024,200,0,Joondalup Kinross (WA)/West Perth (WAFL),NA,nationalDraft,37,27/04/2026
Archer,Day-Wicks,8454,Essendon,2026,44,MIDFIELDER_FORWARD,CD_I1029265,13/05/2006,2024,186,0,Sandhurst Dragons/Oakleigh U18,2025,rookieElevation,6,27/04/2026
Hussien,El Achkar,12117,Essendon,2026,33,MEDIUM_FORWARD,CD_I1030308,2/04/2007,2024,171,0,Pascoe Vale (Vic)/Calder U18,2026,nationalDraft,53,27/04/2026
Rhys,Unwin,9202,Essendon,2026,38,MEDIUM_FORWARD,CD_I1032023,11/10/2006,2024,179,0,Cobden FNC/GWV Rebels U18,2025,nationalDraft,61,27/04/2026
Jacob,Farrow,11965,Essendon,2026,2,MEDIUM_DEFENDER,CD_I1034305,21/09/2007,2025,189,0,Joondalup Kinross JFC/West Perth (WAFL),2026,nationalDraft,10,27/04/2026
Max,Kondogiannis,12453,Essendon,2026,29,MEDIUM_DEFENDER,CD_I1036584,14/11/2007,2025,190,0,Kew Rovers (Vic)/Oakleigh U18,2026,nationalDraft,36,27/04/2026
Sullivan,Robey,15673,Essendon,2026,9,MEDIUM_FORWARD,CD_I1043261,4/10/2007,2025,192,0,Rowville (Vic)/Eastern Ranges U18,2026,nationalDraft,9,27/04/2026
Cillian,Bourke,15853,Essendon,2026,39,MEDIUM_DEFENDER,CD_I1044339,7/06/2006,2025,190,0,County Offaly (Ireland),NA,other,NA,27/04/2026
Peter,Wright,903,Essendon,2026,20,RUCK,CD_I298289,8/09/1996,2014,203,0,Moonee Valley (Vic)/Calder U18/Gold Coast,2015,nationalDraft,8,27/04/2026
Jade,Gresham,1127,Essendon,2026,11,MEDIUM_FORWARD,CD_I298421,24/08/1997,2015,177,0,South Morang (Vic)/Parade College (Vic)/Northern U18/St Kilda,2016,nationalDraft,18,27/04/2026
Kyle,Langford,945,Essendon,2026,4,MEDIUM_FORWARD,CD_I298630,1/12/1996,2014,192,0,Macleod (Vic)/Ivanhoe Grammar (Vic)/Northern U18,2015,nationalDraft,17,27/04/2026
Zach,Merrett,170,Essendon,2026,7,MIDFIELDER,CD_I992016,3/10/1995,2013,179,0,Cobden (Vic)/Melbourne Grammar (Vic)/Sandringham U18,2014,nationalDraft,26,27/04/2026
Brayden,Fiorini,988,Essendon,2026,8,MIDFIELDER,CD_I993799,22/08/1997,2015,187,0,Greensborough (Vic)/Northern U18/Gold Coast,2016,nationalDraft,20,27/04/2026
Darcy,Parish,852,Essendon,2026,3,MIDFIELDER,CD_I993817,25/07/1997,2015,180,0,Winchelsea (Vic)/Geelong U18,2016,nationalDraft,5,27/04/2026
Matt,Guelfi,1737,Essendon,2026,35,MEDIUM_FORWARD,CD_I996232,14/08/1997,2017,184,0,Wembley Downs (WA)/Claremont (WAFL),2018,nationalDraft,76,27/04/2026
Mason,Redman,944,Essendon,2026,27,MEDIUM_DEFENDER,CD_I997078,26/08/1997,2015,187,0,Millicent (SA)/Glenelg (SANFL),2016,nationalDraft,30,27/04/2026
Andrew,McGrath,1331,Essendon,2026,1,MEDIUM_DEFENDER,CD_I998102,2/06/1998,2016,180,0,East Brighton (Vic)/Brighton Grammar (Vic)/Sandringham U18,2017,nationalDraft,1,27/04/2026
Will,Setterfield,1359,Essendon,2026,12,MIDFIELDER,CD_I998215,5/02/1998,2016,192,0,Albury (NSW)/Scots School (NSW)/Sandringham U18/GWS/Carlton,2017,nationalDraft,5,27/04/2026
Andrew,Brayshaw,1684,Fremantle,2026,8,MIDFIELDER,CD_I1002232,8/11/1999,2017,185,0,Hampton Rovers (Vic)/Haileybury College (Vic)/Sandringham U18,2018,nationalDraft,2,27/04/2026
Jordan,Clark,1929,Fremantle,2026,6,MEDIUM_DEFENDER,CD_I1006152,16/10/2000,2018,185,0,"Railways, Albany (WA)/Claremont (WAFL)/Geelong",2019,nationalDraft,15,27/04/2026
Hayden,Young,2284,Fremantle,2026,26,MIDFIELDER,CD_I1009256,11/04/2001,2019,189,0,Somerville (Vic)/Mornington SC (Vic)/Dandenong U18,2020,nationalDraft,7,27/04/2026
Jeremy,Sharp,3721,Fremantle,2026,14,MIDFIELDER,CD_I1009380,13/08/2001,2019,189,0,Attadale (WA)/Aquinas College (WA)/East Fremantle (WAFL)/Gold Coast Suns,2020,nationalDraft,27,27/04/2026
Luke,Jackson,3728,Fremantle,2026,9,RUCK,CD_I1009399,29/09/2001,2019,199,0,Bullcreek-Leeming (WA)/East Fremantle (WAFL)/Melbourne,2020,nationalDraft,3,27/04/2026
Brandon,Walker,4060,Fremantle,2026,31,MEDIUM_DEFENDER,CD_I1009410,17/10/2002,2020,186,0,Kardinya (WA)/East Fremantle (WAFL),2021,nationalDraft,50,27/04/2026
Caleb,Serong,2304,Fremantle,2026,3,MIDFIELDER,CD_I1009420,9/02/2001,2019,180,0,Warragul (Vic)/Geelong Grammar (Vic)/Gippsland U18,2020,nationalDraft,8,27/04/2026
Isaiah,Dudley,9530,Fremantle,2026,43,MEDIUM_FORWARD,CD_I1011558,30/04/2003,2024,168,0,Central Districts (SANFL),2025,preseason,NA,27/04/2026
Josh,Treacy,2362,Fremantle,2026,35,KEY_FORWARD,CD_I1012819,4/08/2002,2020,195,0,Cohuna (Vic)/Bendigo U18,2021,rookieElevation,7,27/04/2026
Nathan,O'Driscoll,4059,Fremantle,2026,30,MIDFIELDER,CD_I1013220,17/05/2002,2020,188,0,Northam (WA)/Perth (WAFL),2022,nationalDraft,27,27/04/2026
Heath,Chapman,4061,Fremantle,2026,5,MEDIUM_DEFENDER,CD_I1013224,31/01/2002,2020,193,0,Joondalup-Kinross (WA)/West Perth (WAFL),2021,nationalDraft,14,27/04/2026
Sam,Sturt,1806,Fremantle,2026,1,MEDIUM_FORWARD,CD_I1013611,12/05/2000,2018,190,0,Mt Eliza (Vic)/Peninsula Grammar (Vic)/Dandenong U18,2020,nationalDraft,17,27/04/2026
Matthew,Johnson,5679,Fremantle,2026,44,MIDFIELDER,CD_I1016825,16/03/2003,2021,193,0,North Beach (WA)/Subiaco (WAFL),2023,nationalDraft,21,27/04/2026
Judd,McVee,5688,Fremantle,2026,17,MEDIUM_DEFENDER,CD_I1017703,7/08/2003,2025,185,0,Geraldton (WA)/Geraldton Senior HS (WA)/East Fremantle (WAFL)/Melbourne,2023,other,NA,27/04/2026
Patrick,Voss,5232,Fremantle,2026,20,KEY_FORWARD,CD_I1017754,29/06/2003,2023,195,0,Turvey Park (NSW)/Wesley College (Vic)/Oakleigh U18/Essendon,2024,preseason,NA,27/04/2026
Neil,Erasmus,5681,Fremantle,2026,28,MIDFIELDER,CD_I1020250,2/12/2003,2021,190,0,Sorrento-Duncraig (WA)/Hale School (WA)/Subiaco (WAFL),2022,nationalDraft,10,27/04/2026
Jye,Amiss,5680,Fremantle,2026,24,KEY_FORWARD,CD_I1020594,31/07/2003,2021,196,0,Busselton (WA)/East Perth (WAFL),2022,nationalDraft,8,27/04/2026
Joshua,Draper,7400,Fremantle,2026,37,KEY_DEFENDER,CD_I1020668,8/02/2004,2022,197,0,Rockingham (WA)/Peel Thunder (WAFL),2024,other,NA,27/04/2026
Karl,Worner,4905,Fremantle,2026,23,MEDIUM_DEFENDER,CD_I1021015,16/06/2002,2021,188,0,East Burwood (Vic)/Oakleigh U18,2023,rookieElevation,8,27/04/2026
Hugh,Davies,7313,Fremantle,2026,12,KEY_DEFENDER,CD_I1022927,28/09/2004,2022,196,0,Claremont U18 (WA),2024,nationalDraft,33,27/04/2026
Jaren,Carr,7505,Fremantle,2026,38,MEDIUM_DEFENDER,CD_I1023047,27/01/2004,2024,191,0,Fremantle City Dockers JFC/South Fremantle (WAFL),NA,fatherSon,63,27/04/2026
Charlie,Nicholls,9905,Fremantle,2026,22,KEY_FORWARD,CD_I1027155,8/06/2006,2024,196,0,Mintaro Manoora SC/Central District (SANFL),NA,nationalDraft,34,27/04/2026
Cooper,Simpson,6403,Fremantle,2026,29,MEDIUM_DEFENDER,CD_I1027656,13/02/2005,2023,182,0,Mount Martha JFC (Vic)/Dandenong U18,2024,nationalDraft,35,27/04/2026
Tobyn,Murray,6479,Fremantle,2026,11,MEDIUM_FORWARD,CD_I1027844,5/05/2005,2025,180,0,Colac (Vic)/Geelong Cats (VFL),NA,nationalDraft,40,27/04/2026
Ollie,Murphy,6768,Fremantle,2026,33,KEY_DEFENDER,CD_I1027990,16/09/2005,2023,200,0,East Brighton Vampires JFC (Vic)/Sandringham U18,NA,nationalDraft,41,27/04/2026
Aiden,Riddle,7357,Fremantle,2026,42,KEY_FORWARD,CD_I1028228,27/12/2005,2024,199,0,North Beach JFC/Claremont (WAFL),NA,rookieElevation,7,27/04/2026
Murphy,Reid,9363,Fremantle,2026,16,MEDIUM_FORWARD,CD_I1028513,30/07/2006,2024,182,0,Sth Melbourne Districts JFC/Sandringham U18,2025,nationalDraft,17,27/04/2026
Adam,Sweid,12115,Fremantle,2026,15,MIDFIELDER,CD_I1030311,14/09/2007,2025,175,0,Pascoe Vale (Vic)/Calder Cannons U18,NA,nationalDraft,25,27/04/2026
Leon,Kickett,11566,Fremantle,2026,19,MIDFIELDER_FORWARD,CD_I1032862,7/11/2006,2025,172,0,South Bunbury FC (WA)/Swan Districts (WAFL),NA,rookieElevation,8,27/04/2026
Toby,Whan,11933,Fremantle,2026,27,MIDFIELDER,CD_I1033719,9/05/2007,2025,184,0,Roleystone JFC (WA)/South Fremantle (WAFL),NA,other,NA,27/04/2026
Ryda,Luke,13661,Fremantle,2026,40,MEDIUM_FORWARD,CD_I1037928,19/09/2007,2025,187,0,Mundijong Centrals (WA)/South Fremantle (WAFL),NA,other,NA,27/04/2026
Christopher,Scerri,13981,Fremantle,2026,45,MEDIUM_FORWARD,CD_I1040573,6/07/2006,2025,177,0,Northern Bullants (VFL)/Strathmore,2026,preseason,NA,27/04/2026
Jaeger,O'Meara,614,Fremantle,2026,2,MIDFIELDER,CD_I294613,23/02/1994,2012,184,0,Dongara (WA)/Perth (WAFL)/Gold Coast/Hawthorn,2013,other,1,27/04/2026
Alex,Pearce,465,Fremantle,2026,25,KEY_DEFENDER,CD_I298409,9/06/1995,2013,201,0,Ulverstone (Tas)/Devonport (Tas),2015,nationalDraft,37,27/04/2026
Sam,Switkowski,1699,Fremantle,2026,39,MEDIUM_FORWARD,CD_I992059,20/11/1996,2017,179,0,Research (Vic)/Northern U18/Box Hill Hawks (VFL),2018,nationalDraft,73,27/04/2026
Oscar,McDonald,926,Fremantle,2026,21,KEY_DEFENDER,CD_I992472,18/03/1996,2014,196,0,Edenhope-Apsley (Vic)/North Ballarat U18/Melbourne/Williamstown,2015,nationalDraft,53,27/04/2026
Corey,Wagner,1089,Fremantle,2026,34,MIDFIELDER,CD_I993940,23/03/1997,2015,181,0,Aspley (NEAFL)/NM/Casey Demons (VFL)/Melb/Port Melb (VFL),2016,nationalDraft,43,27/04/2026
Shai,Bolton,1407,Fremantle,2026,10,MIDFIELDER,CD_I993993,8/12/1998,2016,176,0,Forrestdale (WA)/South Fremantle (WAFL)/Richmond,2017,nationalDraft,29,27/04/2026
Brennan,Cox,1390,Fremantle,2026,36,KEY_DEFENDER,CD_I997033,13/08/1998,2016,195,0,Woodville South (SA)/Woodville-West Torrens (SANFL),2017,nationalDraft,41,27/04/2026
Sean,Darcy,1392,Fremantle,2026,4,RUCK,CD_I998145,12/06/1998,2016,203,0,Cobden (Vic)/Xavier College (Vic)/Geelong U18,2017,nationalDraft,38,27/04/2026
Bailey,Banfield,1594,Fremantle,2026,41,MEDIUM_DEFENDER,CD_I998180,26/02/1998,2020,190,0,Swanbourne (WA)/ Scotch College (WA)/Claremont (WAFL),2018,rookieElevation,22,27/04/2026
Mason,Cox,809,Fremantle,2026,18,RUCK,CD_I998647,14/03/1991,2017,211,0,Oklahoma State University (USA)/Collingwood,2016,rookieElevation,NA,27/04/2026
Luke,Ryan,1311,Fremantle,2026,13,MEDIUM_DEFENDER,CD_I998659,6/02/1996,2016,186,0,Moonee Valley (Vic)/Calder U18/Maribyrnong Park/Coburg (VFL),2017,nationalDraft,66,27/04/2026
Michael,Frederick,3718,Fremantle,2026,32,MEDIUM_FORWARD,CD_I999321,17/05/2000,2019,183,0,Portland (SA)/Woodville-West Torrens (SANFL),2020,nationalDraft,61,27/04/2026
Jack,Henry,1339,Geelong,2026,38,KEY_DEFENDER,CD_I1000937,29/08/1998,2016,192,0,"St Mary's, Geelong (Vic)/St Joseph's College/Geelong U18",2018,rookieElevation,16,27/04/2026
James,Worpel,1713,Geelong,2026,29,MIDFIELDER,CD_I1002222,24/01/1999,2017,186,0,Bell Park (Vic)/Geelong U18/Hawthorn,2018,nationalDraft,45,27/04/2026
Zach,Guthrie,1342,Geelong,2026,39,MEDIUM_DEFENDER,CD_I1004870,30/06/1998,2016,188,0,Sunbury (Vic)/Calder U18,2017,rookieElevation,33,27/04/2026
Gryan,Miers,1563,Geelong,2026,32,MEDIUM_FORWARD,CD_I1004938,30/03/1999,2017,179,0,Grovedale (Vic)/Geelong U18,2019,nationalDraft,57,27/04/2026
Bailey,Smith,1913,Geelong,2026,3,MIDFIELDER,CD_I1006130,7/12/2000,2018,185,0,East Malvern (Vic)/Xavier College (Vic)/Old Xavs (Vic)/Sandringham U18/Western Bulldogs,2019,nationalDraft,7,27/04/2026
Mark,O'Connor,1344,Geelong,2026,42,MIDFIELDER,CD_I1007102,17/01/1997,2016,189,0,County Kerry (Ireland),2017,other,NA,27/04/2026
Sam,De Koning,2248,Geelong,2026,16,KEY_DEFENDER,CD_I1009229,26/02/2001,2019,204,0,Mornington (Vic)/Dandenong U18,2021,nationalDraft,19,27/04/2026
Tanner,Bruhn,2542,Geelong,2026,4,MEDIUM_DEFENDER,CD_I1012805,27/05/2002,2020,184,0,Newtown &amp; Chilwell (Vic)/Geelong Gram (Vic)/Geelong U18/GWS,2021,nationalDraft,12,27/04/2026
Oliver,Henry,2591,Geelong,2026,36,KEY_FORWARD,CD_I1012860,29/07/2002,2020,189,0,"St Marys, Geelong (Vic))/St Joseph's College/Geelong U18/Collingwood",2021,nationalDraft,17,27/04/2026
Lawson,Humphries,7508,Geelong,2026,17,MEDIUM_DEFENDER,CD_I1013464,24/04/2003,2023,182,0,Wickham Wolves JFC (WA)/Swan Districts (WAFL),2024,nationalDraft,63,27/04/2026
